,0,1,2,3,4,5
told,0.03576165230535214,-0.014900614179525266,-0.005114651697410406,-0.0030894542038867683,-0.0024083161687790122,-0.0163891696234227
friends,-0.04257271849061206,0.02575749401667382,0.003705295689279367,0.0273709301649029,0.020250419199389854,-0.009274611846866843
present,-0.007081471517140225,-0.00852459797788055,0.03757996163128007,0.035440753338863436,0.03817097096714234,0.015556513852347617
master,-0.016598954217080603,0.010701066194010012,-0.06545302255596053,0.03666629018842025,-0.0503025617007845,0.005996805419658746
held,0.009746121234919802,0.0033911784260844957,-0.00981599473694264,0.0019141121508964853,-0.007696501426050767,-0.006962918719121882
different,0.005414085528169209,-0.0013239127436263098,0.016504326351286874,0.007135504186019298,0.044957743210337256,0.026851961849506834
foot,-0.0036096687680487183,0.005290323212748832,-0.014767600485021126,-0.02184660055896165,-0.0021545883795354853,0.003323818663757916
best,-0.009028929838114388,-0.008853144375296801,-0.00017899677007493509,0.006787236475978314,0.0361528394151782,0.014809306843249215
covered,-0.016357770713320084,-0.002479609145927708,-0.0028870074259218503,-0.031148758610323936,-0.0008547580604440497,0.0023560060291346052
exclaimed,-0.043702803354152386,0.009832021578145616,-0.009164926814117793,0.018654639880929396,0.008585540057658166,-0.012123068167313466
deep,-0.008154869630753958,-0.010199839899277202,0.014121266466188132,-0.02016332514841414,-0.0072335745400031294,-0.006595102664649989
mean,0.013256680656134239,-0.003033825939057222,0.02416263218398732,0.020531597219537526,0.015084027457464686,-0.0014877189504816867
tried,0.02651298911589133,-0.010805292960050906,0.0014747905278093172,-0.01467514157848826,-0.00319534012007352,-0.0031199044412642918
silence,0.010115598294802044,-0.005191530727500863,0.012494741022533883,0.008448255262916038,-0.0034938701270809864,-0.0048873175263363525
struck,0.014729488744018438,-0.011343882125979698,-0.004601047870696615,-0.01563216190327426,-0.02889674635266821,-0.03493642857205023
space,0.048841860655536994,-0.0020257824014401566,0.07012889392083356,-0.029784731769490955,0.0016744135000525825,0.026375863729396005
heart,0.0008277525177035213,-0.0003036803610269737,-0.006856709919009703,0.008023074364097217,-0.002477314624657717,-0.005208268574893891
attention,0.007863900561532593,-0.003643395205044015,0.015329182322183712,-0.011600664058148106,0.004151106946167543,-0.004549848593937379
enormous,-0.015294509485634468,-0.011273495800670549,0.030751661801823125,-0.005921468809848103,0.005243399645962198,0.00626238122023043
sky,0.03453254807577053,0.0060718169203364016,0.041479022101694935,-0.06214079846236692,-0.0028619202810695413,-0.030484233501810357
length,-0.027443316494928604,0.008611650193509105,0.014391768825755798,0.00043250145493811475,0.005644343624237545,-0.00305527753513662
arms,0.007775661996951259,0.0077904400815429625,0.004507364867850012,-0.0083582114166497,-0.01222380503445869,-0.01249583878901174
impossible,-0.014160882968162968,-0.004019743643690797,0.004803218876394268,0.007979298417302726,0.014982656421928,0.028179585425072397
whom,-0.01151187685899829,-0.007852743980615355,-0.03691136928560032,0.03595064062566538,0.006661180796711438,0.0003692689610432642
mouth,-0.014402003651399408,-0.016927780013747597,-0.01995447333427078,-0.03863023492227731,0.014076765338842041,-0.00638408230771363
speak,-0.0030237848853632357,-0.0119230835517253,-0.008577402983905085,0.014764493582479972,0.005807702187325188,-0.00841302474296236
position,0.006118181596688304,-0.011227907981541212,0.005353778962775314,-0.007048022125411885,0.004826948679511327,-0.0019176842264214168
sound,0.03611537103084481,-0.00012151238008586945,0.019214763386284552,-0.04479900283405507,-0.03475131842684942,-0.0007018598069897327
later,-0.011398208294903114,0.0016629457313637635,-0.005068909144498968,0.002564142151018742,0.014955882641524839,-0.0003640089238482951
number,0.02021233595533044,-0.009500809401396179,0.0034392799026468843,-0.008565610113688428,0.003714967661452215,0.01459072872568471
sir,-0.04271729996629538,-0.0192668559669371,-0.02596349894277393,0.11822565997921941,-0.1124703892260025,-0.09045959633780937
companions,-0.09278906180535611,-0.023996852791562575,-0.04089033939785981,-0.04674104393129591,0.03388562410729248,-0.009944675557995906
besides,-0.03825245120358843,-0.007013309462851132,-0.021700442613160745,-0.004807884838479557,0.01761107554220821,0.010468655355328347
happened,0.017532798611985246,-0.009151636349650579,-0.00954051978522967,-0.012418266773346624,-0.0019412787349036317,-0.01059404076574246
