topic_id,phi_sum,theta_sum,h,top_terms,label,auth_WELLS,auth_VERNE,title_Five Weeks in a Balloon,title_The Sleeper Awakes,title_The Underground City,title_Tono-Bungay,title_From the Earth to the Moon,title_A Modern Utopia,title_The Time Machine,title_The Island of Doctor Moreau,title_The World Set Free,title_A Journey to the Centre of the Earth,title_Twenty Thousand Leagues under the Sea,title_The War of the Worlds,title_Eight Hundred Leagues on the Amazon,title_The War in the Air,title_The Mysterious Island,title_The First Men in the Moon,title_Around the World in Eighty Days,title_The Invisible Man A Grotesque Romance,title_Off on a Comet!,title_All Around the Moon,author,title
0,7700.450805906843,16.290549691377084,8.02,sea mountain rocks vast soil earth enormous rock,0: sea mountain rocks vast soil earth enormous rock,0.005854830534573116,0.03926536532664576,0.014161785191761651,0.0037001241600191446,0.043187339978447266,3.910976581019988e-05,0.040924539946740994,0.0011521476183804999,0.007145363005939694,0.006583162959888025,0.006383921450862926,0.14908068207725766,0.04101941778911736,0.0023352607316993734,0.0027175748844149136,0.0018972677619659094,0.027873902651169638,0.02282062027346527,0.00017413982486013605,0.0002524073843159844,0.03742307633354309,0.029465317065213773,auth_VERNE,title_A Journey to the Centre of the Earth
1,11357.911794212225,25.482720995606435,8.53,doctor balloon hundred wind let country air ground,1: doctor balloon hundred wind let country air ground,0.004526421050119648,0.06365963891274949,0.5197379217515983,0.0030615380939506666,0.0010891599949655367,0.006892102723182739,0.009958767726759184,2.4633654724164688e-05,0.005150379695045704,0.0023132633273050666,1.3418324012621998e-05,0.0004432353577147389,0.0009200516737866651,0.004974285343666202,0.0014659721314323744,0.02533303626363514,0.011670849795995671,0.0011603768578826792,0.00017413982482841916,0.003184798973189406,0.011766316101067962,0.004659212279286778,auth_VERNE,title_Five Weeks in a Balloon
2,8079.385737059356,13.348082506281596,7.71,old years new mine want yes cried let,2: old years new mine want yes cried let,0.01807221261703146,0.025758601413169796,0.005789247914541268,0.06300575240565616,0.2952287449967573,0.035184884017926174,0.0028482309263496903,2.463365478551539e-05,0.0026747011158886206,0.006962036765417761,0.07658796142227171,0.011268247496390759,0.009116377086003494,0.0026195743838515243,0.01161131275901987,0.017628168484314165,0.005514593477724273,0.004820578165699168,0.003329530744616341,0.011892522753720497,0.04577974153154611,0.008813339691515825,auth_VERNE,title_The Underground City
3,26425.400641497356,42.54696938344684,8.84,island engineer replied granite house companions top sea,3: island engineer replied granite house companions top sea,0.0064040856225292386,0.10684600871326581,0.01111574183297803,0.001250237725052536,0.0723738888450947,0.0031676193155734736,0.007988228670981758,0.0025288261204693555,0.00021291889212998947,0.03807643558781652,0.00034881490651445695,0.02497095903351027,0.02370796987258187,0.00014847003566170858,0.004253677896953375,0.018029339124241105,0.5518591370328773,0.00013937570031120455,0.013125956189095856,0.0002524073852603685,0.048217687937756486,0.005325627362031775,auth_VERNE,title_The Mysterious Island
4,17801.919435971555,37.58961599079468,8.58,captain sea land sir water vessel ocean board,4: captain sea land sir water vessel ocean board,0.011298000732203752,0.09167155001000668,0.013374443198442177,0.0011744219158918259,0.00580245771021497,0.007495949443967224,0.02500090821525883,0.0025314623394227837,0.0002129188925508967,0.07350070165602865,1.3418324024717135e-05,0.021831184565808574,0.5243885512912648,0.003971903943200072,0.004971110103147307,0.0068867081643890025,0.04615887668528921,0.0025504137354468476,0.06391809248594704,0.00025240738561312765,0.0646432731293653,0.03293215921539437,auth_VERNE,title_Twenty Thousand Leagues under the Sea
5,41493.4990831209,80.83606319058426,8.85,people face stood turned suddenly heard white towards,5: people face stood turned suddenly heard white towards,0.39329161319193434,0.018838582748559523,0.01708379136757455,0.4707784149339334,0.02876558944500047,0.15553926191585996,0.014577637686276446,0.013850040631957333,0.4280191417343256,0.5759686523983413,0.09325490241392767,0.01822981670334496,0.0407023194135631,0.42248619206083887,0.015355535629115433,0.1811538544969005,0.014800933917923571,0.3258879195899377,0.009379938281698322,0.5922638128074229,0.017629121741112593,0.01136319756295307,auth_WELLS,title_The Invisible Man A Grotesque Romance
6,4695.415297212268,14.132147464270334,7.94,gun replied shot iron american point weight metal,6: gun replied shot iron american point weight metal,0.002690231631258221,0.0352172458636306,0.020551006529627314,0.00010402634333718805,0.00015009387528284576,0.000787131707957364,0.3476503222538228,0.00044025624840717654,0.00021291889073480138,0.00018963740001496225,1.3418324021568951e-05,0.0036089567887949685,0.015933723730656178,0.0035597425606360747,0.009132124443306917,0.02609436177905645,0.010590519818022549,0.002593300678965636,0.013403660922052788,0.0009280276605403739,0.006214874768100268,0.012956307886371829,auth_VERNE,title_From the Earth to the Moon
7,3709.250331052308,8.011168609653367,7.34,lake town country mountains miles mountain reached city,7: lake town country mountains miles mountain reached city,0.002053756816676541,0.01970831029698928,0.03906141650294254,0.004502530831384069,0.050088751273471455,3.9109765755454076e-05,0.016814983438838065,0.013657929923375806,0.00021291889104841158,0.00018963739954195227,0.008142099967344114,0.011175672495861762,0.005856764666582516,0.001545467744146145,0.017420715556921186,0.0017812638911176633,0.004529990577089414,0.00013937569991796943,0.03940767884778584,0.00025240738536019196,0.01594054713111681,0.025147979240781427,auth_VERNE,title_The Underground City
8,22318.68035955837,35.547566525339725,8.65,got mr get london dont old im house,8: got mr get london dont old im house,0.09193449140208042,0.0474310507316556,0.051809414000170584,0.028430919907922993,0.023257419599078465,0.2885202444667973,0.01933296632476758,0.003287176244380706,0.05252990796020862,0.017485138057060482,0.06458602954920115,0.027516840367082473,0.011586841461751892,0.0375496684401606,0.02199618762519662,0.24741696614190756,0.010128936148968187,0.03753863268114453,0.27540422906584167,0.21700020177609275,0.016959194838151212,0.038425387689769656,auth_WELLS,title_Tono-Bungay
9,17456.768378431865,39.51919231533358,9.0,cried professor words let earth water appeared heard,9: cried professor words let earth water appeared heard,0.012711067904500207,0.09597473544494067,0.0630855248796417,0.012229415774064674,0.10514862059757044,0.0037790990287510933,0.03199438125083652,0.002601135300287367,0.018433920015881095,0.009431955377301264,0.0058055812203767505,0.48107608084803194,0.056222567516392985,0.02716266927268543,0.04422761032116264,0.0008419904159234792,0.034762346165930075,0.024468626001784496,0.009837421898565924,0.0018405952875140013,0.03958054507926476,0.07203706121889851,auth_VERNE,title_A Journey to the Centre of the Earth
10,17559.87590517676,42.170254173955655,8.97,captain professor earth sun days new temperature degrees,10: captain professor earth sun days new temperature degrees,0.009429005984098838,0.10441093037449402,0.055828291881384245,0.006262980258739125,0.05383847194000426,3.910976571088337e-05,0.10659843346289115,0.0013005658242395011,0.016105699876566213,0.008351430205896968,0.002068416934444728,0.09551525465454323,0.04349659057632551,0.011769552805943828,0.022005242608817463,3.277636345990188e-05,0.03101001109938404,0.02717065353596846,0.027765332485821106,0.003249947027436265,0.5428333378785207,0.023641771406253093,auth_VERNE,title_Off on a Comet!
11,33578.860465677775,34.50915734085043,8.78,things world thing life sort mind something people,11: things world thing life sort mind something people,0.15364306219133958,0.014929986333514087,0.024110962043540393,0.10313678415577618,0.0319675728953992,0.41117654525126357,0.0059188560999312075,0.4488400874230105,0.13476503419695987,0.1579508831705913,0.10310984860920627,0.013949874573192895,0.012362573317106593,0.04408366651021633,0.031557165015780375,0.06870571337356675,0.010675535889474178,0.23011928722865027,0.004842481667736596,0.03894899937740513,0.009675017471538877,0.010086261365628195,auth_WELLS,title_A Modern Utopia
12,403.0000004283675,1.076185951076047,8.38,room soil worthy house journey four kind whose,12: room soil worthy house journey four kind whose,0.00014186066455712198,0.002712294591224458,0.00013712876221945875,0.0001040263428028111,0.00015009387403839533,3.910976545521815e-05,0.00024032812833117887,2.4633654577258326e-05,0.000212918889883892,0.0001896373993356193,1.341832393438055e-05,0.022804045575638865,0.0001263708266039325,0.00014847003443965094,0.000133757535868397,3.277636316019964e-05,8.10551721032624e-05,0.00013937569933752443,0.00017413982385877346,0.00025240738377010446,0.00015047866823921578,6.511784967151641e-05,auth_VERNE,title_A Journey to the Centre of the Earth
13,17231.33042059309,35.99478651967978,8.79,river trees hundred bank large whose forest several,13: river trees hundred bank large whose forest several,0.011991304768626343,0.08721553624792416,0.0687905724724681,0.00010402634363955473,0.04559518097114762,0.004864903205779196,0.05653419631359679,0.006861006118828556,0.040327036594703165,0.021596989364131083,0.0016402949022534048,0.023520495863359362,0.07671489048891955,0.02590301379811124,0.2987396160173223,0.0004878141623291491,0.12864291981557635,0.005385167820436463,0.07298368160397985,0.0021764313318537462,0.01492250662606111,0.018544372913371156,auth_VERNE,title_Eight Hundred Leagues on the Amazon
14,31373.59268351241,24.849410498393155,8.7,world state people life new human things women,14: world state people life new human things women,0.08848973144496866,0.021451758961715812,0.02082085041284001,0.1010887027426696,0.030724535551999266,0.022145239955749775,0.04395190430236923,0.48593304581028735,0.10837173387380337,0.01875169848454014,0.4006140338027976,0.030301508330833306,0.017080131061175587,0.07285268033830529,0.0318260421398634,0.09665638642542448,0.005192950618257662,0.023994495010127882,0.01672253710549308,0.015510255294944413,0.0159924918440892,0.02295524010701667,auth_WELLS,title_A Modern Utopia
15,18197.234434510578,27.668789523479546,8.76,moon earth captain cried surface miles point travellers,15: moon earth captain cried surface miles point travellers,0.023883587586919545,0.05995493189851572,0.012611268519775877,0.0007356854908667683,0.040291723683067306,3.910976571987619e-05,0.14107819687596265,0.0012187786650450349,0.03423468959628202,0.0038116446442782014,1.341832402086765e-05,0.008197779779404063,0.00793195154439439,0.008687484720467912,0.0001337575368388651,0.0003433400408920225,0.0025963282031978264,0.12862104439000044,0.005481938381405374,0.0064883577081769755,0.029674842095497256,0.6483827460718365,auth_VERNE,title_All Around the Moon
16,24971.599448898138,36.38966357135418,8.74,air sky night black towards water became wind,16: air sky night black towards water became wind,0.14224169666343786,0.02529836252013254,0.029065844953321703,0.18274322638134075,0.022802638520607474,0.060134140841325213,0.041403953053477514,0.0074735101994006705,0.14263112317351961,0.04978766921439774,0.23180944812466991,0.022169808332615566,0.031283953359902965,0.3045231684630181,0.009149626942202286,0.30234093052918204,0.014725109357134183,0.1509386704760603,0.021063111477969142,0.03233414604832231,0.05171965153091132,0.00926053668421469,auth_WELLS,title_The War of the Worlds
17,13265.241738724286,33.02820248420297,8.63,replied judge answered yes life exclaimed words years,17: replied judge answered yes life exclaimed words years,0.0064924123477811,0.08220703197717806,0.019857334494592666,0.01676947811522003,0.04737058980349491,3.9109765804679125e-05,0.042633638504113905,0.004882209001820689,0.00021555972968952982,0.0046084487821673814,0.005554718428082899,0.0214361255446664,0.04184346618144464,0.009615708417726396,0.44622103796119694,3.277636346054881e-05,0.0636275257895929,0.000816851147559092,0.0767804971801485,0.011497753348752532,0.02806506729541188,0.005716758247567551,auth_VERNE,title_Eight Hundred Leagues on the Amazon
